edge_id,source_node,target_node,relationship_type,strength
E0101,M009,M047,TRADES_WITH,86
E0102,M039,M020,ADVISES,92
E0103,A004,M018,SUPPLIES_TO,85
E0104,ADV006,M044,PAYS,85
E0105,ADV012,M043,PAYS,83
E0106,A012,M010,TRADES_WITH,74
E0107,A013,M016,ADVISES,69
E0108,M046,M036,PAYS,76
E0109,A009,M016,TRADES_WITH,63
E0110,A011,M024,SUPPLIES_TO,84
E0111,M047,M018,PAYS,93
E0112,M039,M013,ADVISES,80
E0113,A014,M001,ADVISES,62
E0114,M048,M045,ADVISES,75
E0115,A009,M025,PAYS,84
E0116,A006,M024,PAYS,79
E0117,A013,M014,TRADES_WITH,70
E0118,M027,M048,ADVISES,51
E0119,ADV019,M047,PAYS,68
E0120,M010,M025,ADVISES,81
E0121,A011,M049,PAYS,91
E0122,M048,M047,TRADES_WITH,60
E0123,A012,M012,SUPPLIES_TO,83
E0124,ADV003,M004,SUPPLIES_TO,76
E0125,M009,M046,ADVISES,50
E0126,A009,M004,PAYS,92
E0127,ADV001,M036,PAYS,50
E0128,ADV009,M019,SUPPLIES_TO,82
E0129,M045,M007,SUPPLIES_TO,83
E0130,ADV007,M034,TRADES_WITH,72
E0131,M018,M024,PAYS,79
E0132,A004,M044,SUPPLIES_TO,91
E0133,M042,M026,PAYS,74
E0134,ADV002,M001,ADVISES,55
E0135,ADV014,M022,SUPPLIES_TO,83
E0136,ADV007,M037,PAYS,67
E0137,ADV003,M018,SUPPLIES_TO,61
E0138,ADV007,M010,PAYS,54
E0139,M020,M037,PAYS,93
E0140,ADV013,M009,SUPPLIES_TO,82
E0141,M048,M028,ADVISES,54
E0142,ADV020,M026,TRADES_WITH,51
E0143,A005,M015,TRADES_WITH,85
E0144,ADV006,M038,PAYS,55
E0145,M050,M046,SUPPLIES_TO,55
E0146,ADV013,M041,ADVISES,74
E0147,M021,M001,TRADES_WITH,78
E0148,M024,M009,SUPPLIES_TO,61
E0149,ADV018,M033,PAYS,56
E0150,ADV012,M006,TRADES_WITH,74
E0151,A005,M050,SUPPLIES_TO,85
E0152,M016,M044,PAYS,60
E0153,A005,M032,ADVISES,54
E0154,A007,M020,PAYS,54
E0155,ADV008,M041,PAYS,88
E0156,M040,M009,TRADES_WITH,50
E0157,A006,M022,PAYS,71
E0158,M028,M020,TRADES_WITH,88
E0159,A004,M012,PAYS,70
E0160,ADV016,M016,TRADES_WITH,74
E0161,A014,M008,ADVISES,87
E0162,M035,M047,PAYS,95
E0163,ADV010,M005,PAYS,93
E0164,M032,M017,ADVISES,95
E0165,M028,M029,PAYS,87
E0166,ADV017,M027,SUPPLIES_TO,73
E0167,ADV018,M041,SUPPLIES_TO,56
E0168,M050,M042,SUPPLIES_TO,86
E0169,A011,M028,SUPPLIES_TO,50
E0170,ADV008,M048,ADVISES,78
E0171,ADV015,M038,ADVISES,72
E0172,A008,M027,SUPPLIES_TO,57
E0173,A003,M022,PAYS,63
E0174,A008,M007,PAYS,94
E0175,A006,M003,SUPPLIES_TO,51
E0176,ADV004,M011,ADVISES,83
E0177,A009,M036,PAYS,79
E0178,ADV013,M012,ADVISES,90
E0179,M043,M048,ADVISES,78
E0180,M038,M046,ADVISES,63
E0181,ADV003,M007,ADVISES,73
E0182,M021,M017,PAYS,83
E0183,A006,M040,PAYS,87
E0184,A006,M040,ADVISES,93
E0185,ADV010,M038,SUPPLIES_TO,93
E0186,M009,M020,SUPPLIES_TO,61
E0187,ADV005,M025,PAYS,88
E0188,A010,M012,PAYS,90
E0189,ADV006,M011,PAYS,68
E0190,A003,M040,SUPPLIES_TO,72
E0191,M001,M025,PAYS,76
E0192,ADV014,M029,PAYS,60
E0193,M006,M019,SUPPLIES_TO,67
E0194,M015,M050,PAYS,86
E0195,ADV016,M033,SUPPLIES_TO,86
E0196,A005,M035,SUPPLIES_TO,78
E0197,M035,M048,ADVISES,69
E0198,A008,M006,PAYS,57
E0199,M050,M048,TRADES_WITH,95
E0200,M040,M040,ADVISES,63
